,DataRiferimento,Documento_Numero,Quantita,Origine,Catalogo,Gruppo,Famiglia,Codice_Hidros,Descrizione,ImportoNetto,Prodotto_Costoattuale
0,2018-01-03,000001C,1.0,    ,Rubinetteria ed Accessori,Accessori Rubinetteria,Accessori per Cassetta WC,AC811D,PINCUS C/CANNETTA COMPLETO DORATO,20.02,18.1584
1,2018-01-03,000002C,1.0,    ,Rubinetteria ed Accessori,Sistemi Di Scarico,Sifone e Tubo in abs,S1002,SIFONE 2 VIE C/PIL. PER PORC.,3.24,2.9384
2,2018-01-12,000003C,6.0,    ,Rubinetteria ed Accessori,Accessori Rubinetteria,Flessibile Inox per Acqua,FMC11,FLESSIBILE MONOFORO 11x1 Cm.35,6.28,5.6934
3,2018-01-16,000004C,1.0,    ,Elettropompe e Serbatoi,Serbatoi e Bollitori,Bollitori e Accessori,5200000041004,ANODO MAGN.32x650 ATT.TAPPO 11/4,23.59,21.8162
4,2018-01-17,000005C,2.0,    ,Rubinetteria ed Accessori,Accessori Rubinetteria,Distanziatore per Vasca,DIST4,DISTANZIATORE ECC. 1/2x3/4 CM.4 PB,6.42,5.82
5,2018-01-19,000006C,1.0,    ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,F09RS5300,KIT PER VALVOLA MECCANICA COES,15.6,14.1457
6,2018-01-19,000006C,1.0,    ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,F09CGZ0R10,RUBINETTO GALLEGGIANTE REGOL. COES,16.52,14.98
7,2018-01-22,000001F,10.0,    ,Rubinetteria ed Accessori,Accessori Rubinetteria,Rubinetto Sottolavabo,L143481Q,FIL.LINEA QUADRO 1/2X3/8 DEES,231.6,210.0
8,2018-01-26,000007C,1.0,    ,Riscaldamento,Scaldabagni Elettrici,Scaldabagno Elettrico,AT80/2,SCALDABAGNO LT 80 G2A EGO,61.76,49.1036
9,2018-01-30,000002F,3.0,    ,Sanitari e Arredo Bagno,Sanitari,Sanitari,COLIBRICS,SEMICOLONNA B.CO COLIBRI 2,78.72,61.11
